Date,Close,Volume,DailyReturn
11/06/2025,269.77,51204050,
11/05/2025,270.14,43683070,0.14
11/04/2025,270.04,49274850,-0.04
11/03/2025,269.05,50194580,-0.37
10/31/2025,270.37,86167120,0.49
10/30/2025,271.40,69886530,0.38
10/29/2025,269.70,51086740,-0.63
10/28/2025,269.00,41534760,-0.26
10/27/2025,268.81,44888150,-0.07
10/24/2025,262.82,38253720,-2.23
10/23/2025,259.58,32754940,-1.23
10/22/2025,258.45,45015250,-0.44
10/21/2025,262.77,46695950,1.67
10/20/2025,262.24,90483030,-0.20
10/17/2025,252.29,49146960,-3.79
10/16/2025,247.45,39776970,-1.92
10/15/2025,249.34,33893610,0.76
10/14/2025,247.77,35477990,-0.63
10/13/2025,247.66,38142940,-0.04
10/10/2025,245.27,61999100,-0.97
10/09/2025,254.04,38322010,3.58
10/08/2025,258.06,36496900,1.58
10/07/2025,256.48,31955780,-0.61
10/06/2025,256.69,44664120,0.08
10/03/2025,258.02,49155610,0.52
10/02/2025,257.13,42630240,-0.34
10/01/2025,255.45,48713940,-0.65
09/30/2025,254.63,37704260,-0.32
09/29/2025,254.43,40127690,-0.08
09/26/2025,255.46,46076260,0.40
09/25/2025,256.87,55202080,0.55
09/24/2025,252.31,42303710,-1.78
09/23/2025,254.43,60275190,0.84
09/22/2025,256.08,105517400,0.65
09/19/2025,245.50,163741300,-4.13
09/18/2025,237.88,44249580,-3.10
09/17/2025,238.99,46508020,0.47
09/16/2025,238.15,63421100,-0.35
09/15/2025,236.70,42699520,-0.61
09/12/2025,234.07,55824220,-1.11
09/11/2025,230.03,50208580,-1.73
09/10/2025,226.79,83440810,-1.41
09/09/2025,234.35,66313920,3.33
09/08/2025,237.88,48999500,1.51
09/05/2025,239.69,54870400,0.76
09/04/2025,239.78,47549430,0.04
09/03/2025,238.47,66427840,-0.55
09/02/2025,229.72,44075640,-3.67
08/29/2025,232.14,39418440,1.05
08/28/2025,232.56,38074700,0.18
08/27/2025,230.49,31259510,-0.89
08/26/2025,229.31,54575110,-0.51
08/25/2025,227.16,30983130,-0.94
08/22/2025,227.76,42477810,0.26
