Date,Close,Volume,DailyReturn
11/07/2025,177.93,73989650,
11/06/2025,175.05,78468580,-1.62
11/05/2025,187.90,76121040,7.34
11/04/2025,190.74,121380900,1.51
11/03/2025,207.18,81016840,8.62
10/31/2025,200.47,52697640,-3.24
10/30/2025,194.55,43541720,-2.95
10/29/2025,198.81,65537260,2.19
10/28/2025,189.60,38201010,-4.63
10/27/2025,189.18,47153060,-0.22
10/24/2025,184.63,34813460,-2.41
10/23/2025,180.48,35812300,-2.25
10/22/2025,175.49,58263100,-2.76
10/21/2025,181.51,27528150,3.43
10/20/2025,181.59,31975850,0.04
10/17/2025,178.15,43421490,-1.89
10/16/2025,178.12,42870890,-0.02
10/15/2025,179.62,37372130,0.84
10/14/2025,179.74,49261450,0.07
10/13/2025,177.21,41332440,-1.41
10/10/2025,175.44,55194030,-1.00
10/09/2025,185.47,45050250,5.72
10/08/2025,183.56,36299660,-1.03
10/07/2025,182.17,58179260,-0.76
10/06/2025,179.53,52504240,-1.45
10/03/2025,173.07,105533400,-3.60
10/02/2025,187.05,39849210,8.08
10/01/2025,184.95,45717300,-1.12
09/30/2025,182.42,43561730,-1.37
09/29/2025,178.86,38413750,-1.95
09/26/2025,177.57,44275790,-0.72
09/25/2025,179.12,72321190,0.87
09/24/2025,179.56,45379670,0.25
09/23/2025,182.55,62354830,1.67
09/22/2025,179.33,45916680,-1.76
09/19/2025,182.39,109129900,1.71
09/18/2025,176.97,70768630,-2.97
09/17/2025,168.33,69255500,-4.88
09/16/2025,170.26,34598660,1.15
09/15/2025,171.21,45396120,0.56
09/12/2025,171.43,54498540,0.13
09/11/2025,164.36,42025500,-4.12
09/10/2025,166.74,62211420,1.45
09/09/2025,162.36,61359530,-2.63
09/08/2025,156.10,47642950,-3.86
09/05/2025,153.11,81855900,-1.92
09/04/2025,156.14,53292340,1.98
09/03/2025,154.90,66052300,-0.79
09/02/2025,157.09,65434970,1.41
08/29/2025,156.71,45270500,-0.24
08/28/2025,158.12,57885240,0.90
08/27/2025,156.72,76380550,-0.89
08/26/2025,160.87,86573720,2.65
08/25/2025,157.17,86879820,-2.30
08/22/2025,158.74,102099200,1.00
08/21/2025,156.18,94678640,-1.61
08/20/2025,156.01,220336400,-0.11
08/19/2025,157.75,137922700,1.12
08/18/2025,174.03,62656600,10.32
08/15/2025,177.17,60288740,1.80
08/14/2025,181.02,53472930,2.17
08/13/2025,184.37,53610030,1.85
08/12/2025,186.97,54983770,1.41
08/11/2025,182.68,56125630,-2.29
08/08/2025,186.96,62657940,2.34
08/07/2025,182.20,77829180,-2.55
08/06/2025,179.54,82924850,-1.46
08/05/2025,173.27,130917500,-3.49
08/04/2025,160.66,82993560,-7.28
08/01/2025,154.27,61286990,-3.98
07/31/2025,158.35,45342610,2.64
07/30/2025,158.61,40261680,0.16
07/29/2025,156.24,42427210,-1.49
07/28/2025,157.88,63886940,1.05
07/25/2025,158.80,57972340,0.58
07/24/2025,154.86,38925750,-2.48
07/23/2025,154.63,48061990,-0.15
07/22/2025,149.07,49880760,-3.60
07/21/2025,151.79,45072810,1.82
07/18/2025,153.52,45771630,1.14
07/17/2025,153.99,60165520,0.31
07/16/2025,150.91,57636990,-2.00
07/15/2025,148.58,59126190,-1.54
07/14/2025,149.15,81774440,0.38
07/11/2025,142.10,52134810,-4.73
07/10/2025,142.50,64383870,0.28
07/09/2025,143.13,68494760,0.44
07/08/2025,139.71,59834820,-2.39
07/07/2025,139.12,71959710,-0.42
07/03/2025,134.36,41812480,-3.42
