Date,Close,Volume,DailyReturn
11/07/2025,429.52,103471500,
11/06/2025,445.91,109622900,3.82
11/05/2025,462.07,85573020,3.62
11/04/2025,444.26,87756640,-3.85
11/03/2025,468.37,84595240,5.43
10/31/2025,456.56,83135790,-2.52
10/30/2025,440.10,72447940,-3.61
10/29/2025,461.51,67983540,4.86
10/28/2025,460.55,80185670,-0.21
10/27/2025,452.42,105867500,-1.77
10/24/2025,433.72,94727770,-4.13
10/23/2025,448.98,126709800,3.52
10/22/2025,438.97,84023460,-2.23
10/21/2025,442.60,54412170,0.83
10/20/2025,447.43,63718970,1.09
10/17/2025,439.31,89331580,-1.81
10/16/2025,428.75,77189890,-2.40
10/15/2025,435.15,71558190,1.49
10/14/2025,429.24,72669440,-1.36
10/13/2025,435.90,79552790,1.55
10/10/2025,413.49,112107900,-5.14
10/09/2025,435.54,69339930,5.33
10/08/2025,438.69,71192130,0.72
10/07/2025,433.09,102296100,-1.28
10/06/2025,453.25,85324880,4.65
10/03/2025,429.83,133188200,-5.17
10/02/2025,436.00,137009000,1.44
10/01/2025,459.46,98122290,5.38
09/30/2025,444.72,74357960,-3.21
09/29/2025,443.21,79491510,-0.34
09/26/2025,440.40,101628200,-0.63
09/25/2025,423.39,96746430,-3.86
09/24/2025,442.79,93133570,4.58
09/23/2025,425.85,83422690,-3.83
09/22/2025,434.21,97108780,1.96
09/19/2025,426.07,93131030,-1.87
09/18/2025,416.85,90454510,-2.16
09/17/2025,425.86,106133500,2.16
09/16/2025,421.62,104285700,-1.00
09/15/2025,410.04,163823700,-2.75
09/12/2025,395.94,168156400,-3.44
09/11/2025,368.81,103756000,-6.85
09/10/2025,347.79,72121680,-5.70
09/09/2025,346.97,53815990,-0.24
09/08/2025,346.40,75208290,-0.16
09/05/2025,350.84,108989800,1.28
09/04/2025,338.53,60711030,-3.51
09/03/2025,334.09,88733290,-1.31
09/02/2025,329.36,58391950,-1.42
08/29/2025,333.87,81145660,1.37
08/28/2025,345.98,67903220,3.63
08/27/2025,349.60,65519010,1.05
